Experiment,T→I ROCAUC,I→T ROCAUC,ZS TabSapWS (cell) ROCAUC,ZS TabSap (cell) ROCAUC,ZS ImmGen ROCAUC,ZS HumanDisease ROCAUC,Integ TabSapWS avg_bio,Integ TabSap avg_bio
census_downweight,-0.022873,-0.028352,-0.003944,0.014967,0.015789,0.106221,-0.007747,-0.007742
larger_cnn,-0.104861,-0.100618,-0.006528,-0.002371,-0.021053,0.110318,-0.01729,-0.05813
nofna_train,-0.055229,-0.065721,-0.00016,0.002516,0.013158,0.102943,-0.005323,-0.011544
nofna_ref,-0.01258,-0.02204,-0.000488,0.005688,0.026316,0.116344,-0.014274,-0.001459
raw_train,0.025667,0.013842,-0.002496,-0.00378,0.007895,0.129956,-0.005379,-0.01522
hqcores_train,-0.097958,-0.107667,-0.002512,0.002142,0.002632,0.092709,-0.012645,-0.011252
hqcores_ref,-0.036621,-0.052906,-0.011347,0.004883,0.023684,0.073223,-0.00231,-0.007482
