gene_name,highly_variable,highly_variable_rank,means,variances,variances_norm,highly_variable_nbatches,variances_norm_rank,isPresentInAll,isPredicted
PRDM16,True,8147.0,0.05179560590029252,0.05727933980442756,1.0023113132481405,18.0,7809.0,True,False
PEX10,True,4936.0,0.5725275409223876,0.7958170672793052,1.004117391923775,18.0,3349.0,True,True
PEX14,True,11143.0,0.591971120931101,0.7960791367665067,0.9538619767410109,18.0,11753.0,True,False
PLCH2,True,5607.5,0.18031991037530343,0.2467434184567351,1.0269487704346827,18.0,4307.0,True,True
SPSB1,True,2586.0,1.8982386257546524,4.812148041496058,1.057292989072472,18.0,1730.0,True,True
SLC2A5,True,3687.0,0.22933964025642622,0.29273590843124464,1.03756329673761,18.0,2546.0,True,True
NMNAT1,True,5159.0,0.5777680960975914,0.8304316207288359,0.9943172644236857,18.0,3571.0,True,True
DISP3,True,5792.0,0.0024522312815086823,0.0024462482938424923,0.9941166223720743,18.0,4620.0,True,True
MMEL1,,,,,,,,False,False
TMEM51,True,8978.0,0.6006348416007966,1.1792288149859134,1.0085932824579793,18.0,8818.0,True,False
FBXO42,True,14495.5,1.7578763926059626,3.2106636506657025,0.9070666349695503,18.0,15102.0,True,False
ALDH4A1,True,3495.5,0.6280201655567312,1.228485157060918,1.0412278840888114,18.0,2410.0,True,True
RER1,True,14239.5,6.361822368830522,24.920978778664125,0.9132138829317515,18.0,14973.0,True,False
PANK4,True,11448.5,1.2151366154229166,1.8828988208684456,0.948847816761028,18.0,12231.0,True,False
VPS13D,True,11135.5,0.8272981888342565,1.1635911951587932,0.9470582126294007,18.0,11745.0,True,False
RBP7,True,2652.5,0.8246716873093919,1.9380274941587967,1.0986568142603705,18.0,1773.0,True,True
GPR157,True,8828.5,0.41023215285989917,0.6617420913977788,1.0158645853328931,18.0,8626.0,True,False
ZBTB40,True,12982.5,1.014738283438103,1.589221872089144,0.9471156857564262,18.0,14189.0,True,False
NPHP4,True,10524.5,0.9478931972365718,1.4536296079322863,0.9564635096595473,18.0,10839.0,True,False
HES5,True,3938.5,0.014203024833509678,0.014872835271055413,1.018756635176288,18.0,2764.0,True,True
SZRD1,True,15352.0,4.714719611626315,15.638657903991483,0.8539647476700326,18.0,15549.0,True,False
PHACTR4,True,11131.0,0.8565257982199539,1.3385654436512957,0.9517731774743147,18.0,11736.0,True,False
SLC9A1,True,12423.0,0.40395842409908506,0.4852334157534356,0.9385672050363575,18.0,13606.0,True,False
LDLRAP1,True,6555.5,2.1889960789195246,8.55520044481496,0.9991488953600702,18.0,5762.0,True,False
PAFAH2,True,11963.0,0.6729445447189892,0.8721705002607455,0.9453016331040591,18.0,12978.0,True,False
AJAP1,True,4830.5,0.024572104313188525,0.026433324197547316,1.035931696993453,18.0,3295.0,True,True
PTAFR,True,3979.0,0.3097902533142466,0.4060204890304024,1.008688060182741,18.0,2786.0,True,True
